Image url,Title,Design Type,Published,Published date,Total Applies,Total Usages
https://template.canva.com/EAFy-Zzk_EM/2/0/400w-q0xKjHpFGY0.jpg,Webinar Background Gen-Z Style Lofi Orange Pop Purple and White,,Profile Only,"Nov 2, 2023",0,0
https://template.canva.com/EAFy-SV50y4/2/0/283w-oWDvzkKzxrI.jpg,Orange and Green Illustrative Children's Day Poster,Double-Sided Poster (A3 Portrait),Profile Only,"Nov 2, 2023",0,0
https://template.canva.com/EAFy5Zt1kig/2/0/400w-02N5x-3f4O4.jpg,Yellow Illustrative International Day of Persons with Disabilities Instagram Post,Instagram Post,Profile Only,"Nov 1, 2023",0,0
https://template.canva.com/EAFy5bHFdSQ/2/0/225w-FdZrC4-1uxY.jpg,Pink Illustrative International Day of Persons with Disabilities Instagram Story,Your Story,Profile Only,"Nov 1, 2023",0,0
https://template.canva.com/EAFy5VJzFxU/2/0/400w-o-8KcqLlVMw.jpg,Orange and Blue Illustrative International Day of Persons with Disabilities Instagram Post,Instagram Post,Profile Only,"Nov 1, 2023",0,0
https://template.canva.com/EAFy5PU_Kx4/1/0/400w-Pkwg4d7FezU.jpg,"Welcome to the world, little one. Baby Birth Greeting Instagram Post",Instagram Post,Profile Only,"Nov 1, 2023",0,0
https://template.canva.com/EAFy31Ysmpw/2/0/400w-KkoF71909Qs.jpg,Blue Modern Stem Day Card,Card (Square),Profile Only,"Nov 1, 2023",0,0
https://template.canva.com/EAFy3zR-ENA/1/0/320w-6PdeDDAVmUw.jpg,Black Modern New Collection Instagram Post,1080 x 1350 px,Profile Only,"Nov 1, 2023",0,0
https://template.canva.com/EAFy2Ey2O5w/1/0/225w-OUP3tRmBO18.jpg,Blue Modern New Collection Instagram Story,Your Story,Profile Only,"Oct 31, 2023",0,0
https://template.canva.com/EAFyuQsjND8/1/0/283w-aBruWGeTtpQ.jpg,Black and Orange Modern Happy Halloween Document,Document (A4),Profile Only,"Oct 30, 2023",0,0
https://template.canva.com/EAFyuI1bOms/1/0/400w-URCz7yEXFVI.jpg,Menu Promosi Catering Free Delivery,Instagram Post,Profile Only,"Oct 30, 2023",0,0
https://template.canva.com/EAFyuJ0qGI0/1/0/200w-AnjedIhRyEE.jpg,Banner Promosi Es Teh Jumbo,Medium Banner (US),Profile Only,"Oct 30, 2023",0,0
https://template.canva.com/EAFyt5V0Pog/1/0/400w--GFypPqeouQ.jpg,Office Position Nameplate (Lower Third),A4 (Landscape),Profile Only,"Oct 30, 2023",0,0
https://template.canva.com/EAFyt4tqV7M/1/0/400w-HKUCY_JJTiI.jpg,Orange and White Modern Happy Thanksgiving Card,Card (Square),Profile Only,"Oct 30, 2023",0,0
https://template.canva.com/EAFyt7ipTvc/1/0/225w-WfUcXfAQmXY.jpg,Red and White Modern New Collection Instagram Story,Your Story,Profile Only,"Oct 30, 2023",0,0
https://template.canva.com/EAFytiGvoA8/1/0/400w-NgBZT2mLbp4.jpg,Forum Silaturahim Kelas (FSK) 2x3m,,Profile Only,"Oct 30, 2023",0,0
