video url,title,channel,num_view,post_time
https://www.youtube.com/watch?v=a-4nFwNhFBk,"Hà Nhi khiến cả Trường quay chết lặng khi live Hit "" Vẫn Nhớ "" của Tuấn Hưng",Thanh Âm Bên Thông,494K views,3 weeks ago
https://www.youtube.com/watch?v=UctdkV0h0vo,Nhạc Chill Us Uk - Tổng Hợp Những Bài Nhạc Chill Hay Nhất TikTok - Lofi Acoustic Tiếng Anh,Cloud Mood,133K views,1 month ago
https://www.youtube.com/watch?v=aIXGM_TtyX0,Ngày Hôm Ấy Em Buông Tay Anh Vì Lý Do Gì Remix TikTok - Lý Do Là Gì Remix ♫ Sự Thật Đã Bỏ Quên Remix,Nhạc Remix,541K views,6 months ago
https://www.youtube.com/watch?v=BKPog4IypqU,"Dù Hai Ta Già Đi Và Dù Hai Ta Già Đi... Là Anh, Thuyền Quyên | Top 20 Bài Nhạc Trẻ Hot TikTok 2023",Bản Nhạc Buồn,5.6M views,3 months ago
,,,,
https://www.youtube.com/watch?v=QOHOp_Aph68,"I'm Good (Blue), Let Her Go ♫ Pop Songs 2023 ♫ Top English Songs Cover Of Popular TikTok Songs",Sunset Mood,147K views,1 month ago
https://www.youtube.com/watch?v=eQuhS0jmeUI,Top 20 Bản Nhạc Nghe Nhiều Nhất 2023 ♫ BXH Nhạc Trẻ Remix Hot TikTok - Nhạc Remix Hot TikTok 2023,Shay Em,1.7M views,2 months ago
https://www.youtube.com/watch?v=DP1SxUAbC0c,Nhạc Chill Nhẹ Nhàng 2023 - Lofi Chill Gây Nghiện Hot Nhất - Những Bản Lofi Việt Nhẹ Nhàng Cực Đỉnh,Hạ Sang,360K views,1 month ago
https://www.youtube.com/watch?v=g_7xdT5TRm0,"TOP HIT 8X, 9X đời đầu sẽ KHÔNG THỂ NÀO QUÊN được những ca khúc tuyệt vời | Liên khúc Ballad 2023",The Bros Entertainment,216K views,1 month ago
https://www.youtube.com/watch?v=0wbktJULiFw,"Thời Không Sai Lệch , Yến Vô Hiết ,  Top 15 Bản Nhạc Tik Tok Trung Quốc Gây Nghiện , Hải KT",Nguyễn Công Hải,753K views,1 month ago
https://www.youtube.com/watch?v=IsU7wh8bApk,"Nhạc Speed Up Lofi Buồn vừa chill vừa cute :3 ~ Chuyện đôi ta, Sài gòn hôm nay mưa | embes",em bes,61K views,10 days ago
https://www.youtube.com/watch?v=iAkco2Bsaxg,The One That Got Away ♫ English Sad Songs Playlist ♫ Acoustic Cover Of Popular TikTok Songs,Sunset Mood,341K views,3 months ago
https://www.youtube.com/watch?v=bsoP5D8xzss,Nhạc Chill TikTok | Mong em hạnh phúc nửa đời về sau...Ngày Em Đẹp Nhất Lofi | Lofi Gây Nghiện 2023,Em Suy,153K views,3 weeks ago
